Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
83,40,80,1118,FALSE,1.5,0,11/22/2024 10:44,FALSE,0,1,95,33.1,3142,,1.5,5,11/22/2024 11:37,FALSE,0,1,Demo,95,2,14,GF,40/80,1019,1019,Perdix 2
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
365,31.9,0,4,0.87,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
370,32.2,0,4,0.88,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
375,32.5,0,4,0.89,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
380,32.6,0,4,0.89,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
385,32.8,0,4,0.89,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
390,32.7,0,4,0.89,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
395,32.2,0,4,0.88,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
400,32.3,0,4,0.88,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
405,32.5,0,4,0.89,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
410,32,0,4,0.87,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
415,31.1,0,4,0.86,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
420,30.7,0,4,0.85,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
425,30.1,0,4,0.84,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
430,29.2,0,3,0.82,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
435,28.8,0,3,0.81,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
440,28.7,0,3,0.81,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
445,28.3,0,3,0.8,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
450,28.3,0,3,0.8,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
455,28.2,0,3,0.8,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
460,28,0,3,0.79,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
465,28.2,0,3,0.8,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
470,28,0,3,0.79,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
475,28.8,0,3,0.81,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
480,29.5,0,3,0.82,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
485,30.3,0,3,0.84,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
490,30.4,0,3,0.84,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
495,30.9,0,3,0.85,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
500,31.6,0,4,0.87,0.21,0,0,5,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
505,32.3,0,4,0.88,0.21,0,0,5,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
510,32.5,0,4,0.89,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
515,32.8,0,4,0.89,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
520,32.2,0,4,0.88,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
525,31.2,0,4,0.86,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
530,29.8,0,3,0.83,0.21,0,0,5,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
535,28.2,0,3,0.8,0.21,0,0,5,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
540,27.2,0,3,0.78,0.21,0,0,5,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
545,26.9,0,3,0.77,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
550,26.3,0,3,0.76,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
555,26.7,0,3,0.77,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
560,26.6,0,3,0.76,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
565,27.2,0,3,0.77,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
570,27.5,0,3,0.78,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
575,27.5,0,3,0.78,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
580,28,0,3,0.79,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
585,28.2,0,3,0.8,0.21,0,0,6,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
590,28.1,0,3,0.79,0.21,0,0,5,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
595,28.1,0,3,0.79,0.21,0,0,5,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
600,28.3,0,3,0.8,0.21,0,0,5,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
605,28.8,0,3,0.81,0.21,0,0,5,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
610,29,0,3,0.81,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
615,28.9,0,3,0.81,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
620,29.1,0,3,0.81,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
625,29.2,0,3,0.82,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
630,29.3,0,3,0.82,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
635,30.1,0,3,0.83,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
640,29.5,0,3,0.82,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
645,29,0,3,0.81,0.21,0,0,4,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
